t,x,y,yaw
114.336,29.753192501437617,0.19770484833037236,1.5732139422523688
114.368,29.75316611393944,0.19770291462560233,1.573184117425103
114.400,29.753156743476666,0.1977012998074666,1.5731542866437245
114.432,29.753162024990825,0.197700043066267,1.5731256664847313
114.464,29.753212244216005,0.1976991490146869,1.5731030651260793
114.496,29.75326613956185,0.19769984642571553,1.5731098682200186
114.528,29.75332068521745,0.1977010991933275,1.5731317376094365
114.560,29.753255623933857,0.19770589070592923,1.5732085752735825
114.592,29.75320860886096,0.19770437359420698,1.5731974706234213
114.624,29.75321783455206,0.1977023949804976,1.5731730755350446
114.656,29.753203568537675,0.1977019311226232,1.57316707393118
114.688,29.753202902718773,0.19770067933320448,1.573140548871064
114.720,29.753248934206166,0.197699650281155,1.5731156503618922
114.752,29.75329950642158,0.1977002143897382,1.5731188339230695
114.784,29.753351439738868,0.19770134079187704,1.5731369596170546
114.816,29.753284292715843,0.19770654235607707,1.5732161324359142
114.848,29.7532355641159,0.19770494628224775,1.5732047098644149
114.880,29.753208581459326,0.19770298171050893,1.5731778425301073
114.912,29.753199610322703,0.19770127421667485,1.5731493605190332
114.944,29.753204975378168,0.19769992711222048,1.5731216626141082
114.976,29.753255954470077,0.19769891167970263,1.5730986848872635
115.008,29.753310384581713,0.19769947339482016,1.5731020583465303
115.040,29.753365314674934,0.1977006022641093,1.5731197218319972
115.072,29.753300287373317,0.1977062343254061,1.5732043010720425
115.104,29.753253067823742,0.19770472253259783,1.5731959583329758
115.136,29.753227214720802,0.19770279476925678,1.5731712583781758
115.168,29.753219168933036,0.19770110188743145,1.5731444093187017
115.200,29.753225097820113,0.19769974821453778,1.5731177863839154
115.232,29.75327679336311,0.19769870228142214,1.5730951327293397
115.264,29.753331727145426,0.19769921709547128,1.5730972557384229
115.296,29.753387019667258,0.1977003001122515,1.573113113999129
115.328,29.753322157293287,0.19770636069244737,1.5732016493666217
115.360,29.753274931917108,0.19770486487499314,1.5731947874616725
115.392,29.753248908294417,0.19770291553161404,1.5731709654574257
115.424,29.75324089361479,0.19770118513042892,1.5731446344882543
115.456,29.75324668941582,0.19769978522133866,1.5731182760809301
115.488,29.753264104525655,0.1976987603675232,1.5730928185028228
115.520,29.753324749806985,0.19769810731411222,1.5730734059563893
115.552,29.753386741778424,0.19769908421919288,1.5730856514824527
115.584,29.753447286041325,0.19770059736971524,1.573113351296009
115.616,29.75338974895819,0.1977040295570904,1.5731777528930255
115.648,29.753348199240346,0.19770274278548672,1.5731648562872462
115.680,29.753327052476404,0.1977011691828156,1.573138320758327
115.712,29.75332126477111,0.1976998639093275,1.5731114436041982
115.744,29.753328683054104,0.1976988795227129,1.5730857178804718
115.776,29.753381738490507,0.19769822478805169,1.5730660563941652
115.808,29.753437283387807,0.1976992002464874,1.5730778808282875
115.840,29.75349237191368,0.19770068696841492,1.5731048480667813
115.872,29.753431046424005,0.1977042987651286,1.5731708206069057
115.904,29.753386123655037,0.19770299532258254,1.5731589169145337
115.936,29.753363513989473,0.19770137780445105,1.5731330406852901
115.968,29.753354998054853,0.19770007013183108,1.5731078460411811
116.000,29.753359905619696,0.19769902245675225,1.5730826127020812
116.032,29.753411326638453,0.19769828427013192,1.5730626925791664
116.064,29.753465470782697,0.19769917988546906,1.573073004361014
116.096,29.753519384705065,0.19770058998129902,1.5730980634310812
116.128,29.75345711510884,0.19770455665619366,1.5731674550850558
116.160,29.753411299896534,0.1977032310048478,1.573156825409914
116.192,29.753385471250187,0.197701569566227,1.5731321494984227
116.224,29.753376846793756,0.1977001147142529,1.5731057489647797
116.256,29.75338166017568,0.1976989980984152,1.5730804897766548
116.288,29.753397691645826,0.19769826868333532,1.5730576896388364
116.320,29.75345782607429,0.19769793090287172,1.573044281881291
